id,category,topic,title,authors,year,venue,doi,doi_url,official,source2,status,preprint,errata,grade,rc,problem,method,conclusion,experiment,limitation,same,diff,support,cannot,sections,order,download,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,verification_date
L11,ABE奠基背景,T2,Ciphertext-Policy Attribute-Based Encryption,John Bethencourt; Amit Sahai; Brent Waters,2007,IEEE Symposium on Security and Privacy 2007,10.1109/SP.2007.11,https://doi.org/10.1109/SP.2007.11,https://ieeexplore.ieee.org/document/4223236,https://dblp.org/rec/conf/sp/BethencourtSW07,正式发表（同行评审安全会议论文）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,A,背景,提出实用CP-ABE，使访问策略嵌入密文。,访问树和双线性对，并给出原型实现。,CP-ABE支持细粒度离线解密，但撤销、策略更新和密钥治理仍需额外机制。,原型运算开销实验。,安全模型和构造与HPKE逐接收者封装不同。,都服务于加密数据共享。,你的V1按接收者直接封装CK，不采用CP-ABE。,可支撑CP-ABE背景与功能对比。,不能声称HPKE封装等同CP-ABE。,系统模型、构造、安全讨论、实现,24,是,4,4,5,3,3,4,4,4,2026-07-30
L12,撤销ABE背景,T2/T9,Identity-Based Encryption with Efficient Revocation,Alexandra Boldyreva; Vipul Goyal; Virendra Kumar,2008,ACM CCS 2008,10.1145/1455770.1455823,https://doi.org/10.1145/1455770.1455823,https://dl.acm.org/doi/10.1145/1455770.1455823,https://dblp.org/rec/conf/ccs/BoldyrevaGK08,正式发表（同行评审安全会议论文）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,A,研究内容三/背景,降低身份加密中的撤销与密钥更新成本。,使用树结构、时间更新密钥和广播式更新。,撤销通常需要显式纪元/更新机制，且未来和历史访问必须区分。,理论与效率比较。,不是HPKE Header，也不处理链上链下恢复。,都关注版本、纪元和撤销后的材料更新。,你的V1选择更简单的逐接收者重建Header。,可支撑撤销分类和更新成本讨论。,不能支撑你的具体Header字段或前瞻性撤销证明。,撤销模型、树结构、更新算法、效率,25,是,5,4,5,3,3,4,4,4,2026-07-30
L13,ABE综述/创新边界,T2,Systematizing Core Properties of Pairing-Based Attribute-Based Encryption to Uncover Remaining Challenges in Enforcing Access Control in Practice,Marloes Venema; Greg Alpár; Jaap-Henk Hoepman,2023,"Designs, Codes and Cryptography, 91(1)",10.1007/s10623-022-01093-5,https://doi.org/10.1007/s10623-022-01093-5,https://link.springer.com/article/10.1007/s10623-022-01093-5,https://eprint.iacr.org/2021/1172,正式发表（同行评审期刊论文；有IACR ePrint前版）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,A,背景/创新边界,系统化ABE核心性质及其在实际访问控制中的兼容性与缺口。,Systematization of Knowledge，以性质矩阵比较方案。,动态性、撤销、隐藏、外包等性质难以同时低成本满足，不能把ABE当作万能替代。,系统化文献分析。,不针对Besu、CAP2或HPKE文件格式。,帮助界定密码访问控制与在线授权的职责。,你的主线是标准组件系统闭环而非新ABE。,可支撑主动放弃自研ABE和逐项论证工程性质。,不能直接证明你的系统创新性。,性质分类、矩阵、实践缺口、未来挑战,19,是,4,4,3,3,3,5,5,4,2026-07-30
L14,近年竞争性工作,T2/T9,Attribute-Based Proxy Re-Encryption With Direct Revocation Mechanism for Data Sharing in Clouds,Chunpeng Ge; Willy Susilo; Zhe Liu; Joonsang Baek; Xiaofeng Chen; Liming Fang,2024,"IEEE Transactions on Dependable and Secure Computing, 21(2): 949–960",10.1109/TDSC.2023.3265979,https://doi.org/10.1109/TDSC.2023.3265979,https://ieeexplore.ieee.org/document/10098892,https://dblp.org/rec/journals/tdsc/GeSLBCF24,正式发表（同行评审期刊论文；在线优先2023、卷期2024）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,S,研究内容三/竞争性工作,实现属性代理重加密和直接撤销。,ABPRE-DR、代理转换、直接撤销和安全证明。,更强的密码撤销功能需要更复杂的代理、密钥和证明机制。,密码运算性能与方案比较。,不处理链状态、任务UNKNOWN和崩溃恢复。,都研究撤销后阻止后续有效访问并更新材料。,你的方案用标准HPKE逐接收者封装，功能更窄但实现和边界更透明。,可作为撤销能力和性能的强竞争工作。,不能声称你的简单封装在密码功能上全面优于ABPRE-DR。,系统模型、撤销算法、安全证明、性能,12,是,5,5,3,3,3,5,5,5,2026-07-30
L15,中文高质量综述,T2,属性基加密机制,苏金树; 曹丹; 王小峰; 孙一品; 胡乔林,2011,"软件学报, 22(6): 1299–1315",,,https://jos.org.cn/jos/article/abstract/3993,https://www.jos.org.cn/jos/article/issue/2011_22_6,正式发表（中文核心期刊综述）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,A,背景,综述ABE模型、代表方案和研究问题。,分类梳理KP-ABE、CP-ABE及其安全与效率性质。,适合建立中文密码访问控制术语与研究谱系。,综述，无统一复现实验。,年代较早，需结合2023 SoK。,涉及策略驱动的加密数据共享。,你的实现不以ABE为核心。,可支撑中文背景与术语。,不能支撑2024—2026最新状态或你的工程结论。,分类、安全模型、代表方案、开放问题,26,是,4,4,3,3,3,4,4,4,2026-07-30
L16,2025高质量综述,T3,Blockchain-based access control and privacy preservation in healthcare: a comprehensive survey,Ahmed M. Tawfik; Ayman Al-Ahwal; Adly S. Tag Eldien; Hala H. Zayed,2025,"Cluster Computing, 28, Article 529",10.1007/s10586-025-05308-x,https://doi.org/10.1007/s10586-025-05308-x,https://link.springer.com/article/10.1007/s10586-025-05308-x,https://dblp.org/rec/journals/cluster/TawfikAEZ25a,正式发表（同行评审期刊综述）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,B,研究内容二/最新综述,系统梳理医疗场景区块链访问控制、隐私技术和共识平台。,结构化筛选并分类许可链/非许可链和隐私增强方法。,近年应用仍普遍面临隐私、性能、互操作和治理权衡。,综述45篇重点研究及案例。,医疗场景限制明显，不能代替通用授权系统对比。,覆盖区块链数据共享、智能合约授权与隐私。,你的系统聚焦Besu状态绑定、共享Nonce和可恢复撤销。,可支撑2025年最新应用趋势和开放问题。,不能把医疗应用结论直接泛化为你的性能与安全结论。,选择方法、分类框架、平台比较、开放问题,40,是,4,3,3,5,3,4,4,3,2026-07-30
L17,区块链访问控制奠基,T3,FairAccess: a new Blockchain-based access control framework for the Internet of Things,Aafaf Ouaddah; Anas Abou Elkalam; Abdellah Ait Ouahman,2017,"Security and Communication Networks, 9(18)",10.1002/sec.1748,https://doi.org/10.1002/sec.1748,https://onlinelibrary.wiley.com/doi/10.1002/sec.1748,https://www.researchgate.net/publication/313847688,正式发表（同行评审期刊论文；在线/卷期元数据存在2016–2017差异，按正式卷期2017记录）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,A,研究内容二/竞争性工作,用区块链管理IoT授权的授予、获取、委托和撤销。,基于OrBAC和区块链交易构建分散授权框架，并在树莓派和本地区块链上概念验证。,链上授权可提升审计和去中心化，但性能、隐私和治理仍需明确。,Raspberry Pi与本地链PoC。,平台和威胁模型较早，缺少CAP2全绑定和共享Nonce。,都使用链上授权状态和撤销。,你的系统采用许可链、版本化能力和多Verifier一致性。,可作为早期区块链授权系统对比。,不能支撑区块链天然可扩展或绝对可信。,参考模型、交易类型、架构、PoC与限制,27,是,4,4,3,5,3,5,4,4,2026-07-30
L18,区块链能力竞争性工作,T3/T4,BlendCAC: A Smart Contract Enabled Decentralized Capability-Based Access Control Mechanism for the IoT,Ronghua Xu; Yu Chen; Erik Blasch; Genshe Chen,2018,"Computers, 7(3), 39",10.3390/computers7030039,https://doi.org/10.3390/computers7030039,https://www.mdpi.com/2073-431X/7/3/39,https://arxiv.org/abs/1804.09267,正式发表（同行评审期刊论文；有arXiv预印本）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,A,研究内容二/竞争性工作,通过智能合约实现分散能力授权、委托和撤销。,能力令牌、智能合约注册与传播、私有链和边缘设备原型。,链上能力管理能降低单点授权，但令牌上下文、新鲜度和撤销语义仍需精确定义。,树莓派/边缘设备与私有Ethereum原型。,未覆盖chainId、contract、stateVersion、userVersion全绑定和共享Nonce。,都采用能力结构、智能合约与撤销状态。,CAP2字段更完整，且你的实验强调多Verifier与Fail-Closed。,最接近的区块链能力访问控制对比之一。,不能据其结果声称你的Besu系统性能或协议优势。,能力模型、合约、令牌管理、实验,13,是,3,4,3,5,3,5,4,4,2026-07-30
L19,区块链访问控制综述,T3,Blockchain Based Access Control Systems: State of the Art and Challenges,Sara Rouhani; Ralph Deters,2019,IEEE/WIC/ACM International Conference on Web Intelligence,10.1145/3350546.3352561,https://doi.org/10.1145/3350546.3352561,https://dl.acm.org/doi/10.1145/3350546.3352561,https://dblp.org/rec/conf/webi/RouhaniD19,正式发表（同行评审会议论文；有arXiv预印本）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,A,研究内容二/综述,分类区块链访问控制系统及挑战。,从模型、平台、策略执行和审计等维度综述。,审计和去中心化不会自动解决隐私、性能、治理与撤销。,综述，无统一基准。,截至2019，不能代表最新Besu工程状态。,覆盖智能合约、能力和属性访问控制。,你的系统聚焦完整绑定、Nonce和真实多节点。,可支撑相关工作分类和挑战。,不能支撑你的具体性能或创新结论。,分类框架、代表系统、挑战,28,是,3,4,3,5,3,4,4,4,2026-07-30
L20,许可链竞争性工作,T3/T6,Distributed Attribute-Based Access Control System Using Permissioned Blockchain,Sara Rouhani; Rafael Belchior; Rui S. Cruz; Ralph Deters,2021,"World Wide Web, 24(5): 1617–1644",10.1007/s11280-021-00874-7,https://doi.org/10.1007/s11280-021-00874-7,https://link.springer.com/article/10.1007/s11280-021-00874-7,https://dblp.org/rec/journals/www/RouhaniBCD21,正式发表（同行评审期刊论文；有arXiv前版）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,S,研究内容二/竞争性工作,在许可链上实现分布式ABAC与可信审计。,Hyperledger Fabric架构、链码授权和多配置性能实验。,许可链可支持可审计授权，但延迟吞吐取决于共识、数据库和部署。,Fabric测试床、不同共识/数据库和请求负载。,不具备你的CAP2全绑定、共享PostgreSQL单次Nonce和Besu配对实验。,许可链、链上状态、真实实现和性能测试高度相关。,其核心是ABAC审计；你的核心是状态锚定、能力绑定和多Verifier一致性。,最重要的系统级对比之一。,不能把Fabric结果直接迁移为Besu/QBFT结论。,架构、链码、部署、性能方法、威胁讨论,9,是,4,5,3,5,5,5,4,5,2026-07-30
L21,官方权威综述,T3,Blockchain for Access Control Systems,Vincent C. Hu,2022,NIST IR 8403,10.6028/NIST.IR.8403,https://doi.org/10.6028/NIST.IR.8403,https://csrc.nist.gov/pubs/ir/8403/final,https://nvlpubs.nist.gov/nistpubs/ir/2022/NIST.IR.8403.pdf,正式NIST报告（权威技术报告，不是实验论文）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,A,研究内容二/设计依据,从区块链组件、功能点和访问控制模型角度给出系统化设计考虑。,映射PAP/PDP/PIP/PEP等功能到链上或链下组件，并讨论RBAC/ABAC/CBAC。,区块链访问控制仍需处理管理、安全、隐私、性能和标准化。,规范性分析，无独立性能基准。,不提供CAP2或Besu实现证明。,直接支撑链上/链下授权功能拆分。,你的系统进一步具体化链状态、Verifier、数据库Nonce和Fail-Closed。,可支撑架构选择和边界表述。,不能作为你的实验结果或安全证明。,执行摘要、功能点架构、模型支持、实施考虑,20,是,5,4,3,5,3,4,4,4,2026-07-30
L22,近年竞争性工作,T3,SC-CAAC: A Smart-Contract-Based Context-Aware Access Control Scheme for Blockchain-Enabled IoT Systems,Mpyana Mwamba Merlec; Hoh Peter In,2024,"IEEE Internet of Things Journal, 11(11): 19866–19881",10.1109/JIOT.2024.3371504,https://doi.org/10.1109/JIOT.2024.3371504,https://ieeexplore.ieee.org/document/10454577,https://pure.korea.ac.kr/en/publications/sc-caac-a-smart-contract-based-context-aware-access-control-schem/,正式发表（同行评审期刊论文）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,A,研究内容一/二竞争性工作,在联盟链IoT中实现日期、时间、位置、用途等上下文感知授权。,上下文访问控制列表、策略状态机和Hyperledger Besu智能合约实现。,上下文可以进入链上授权，但上下文真实性、状态新鲜度和读取成本仍是系统问题。,Besu实现，测量策略设置、查询和验证延迟。,未覆盖I*规范化、CAP2全状态绑定和共享Nonce。,时间上下文、Besu和智能合约授权与论文高度相关。,你的工作更重视非连续窗口编译、完整域绑定、多Verifier和Fail-Closed。,可作为2024年最重要竞争性工作。,不能支撑“时间上链即可信时间”。,上下文模型、状态机、Besu实现、性能,10,是,4,4,3,5,5,5,4,4,2026-07-30
L23,能力安全奠基,T4,Macaroons: Cookies with Contextual Caveats for Decentralized Authorization in the Cloud,Arnar Birgisson; Joe Gibbs Politz; Úlfar Erlingsson; Ankur Taly; Michael Vrable; Mark Lentczner,2014,NDSS 2014,10.14722/ndss.2014.23212,https://doi.org/10.14722/ndss.2014.23212,https://www.ndss-symposium.org/ndss2014/ndss-2014-programme/macaroons-cookies-contextual-caveats-decentralized-authorization-cloud/,https://dblp.org/rec/conf/ndss/BirgissonPETVL14,正式发表（同行评审安全会议论文）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,S,研究内容二/能力安全,构造可衰减、带上下文限制的分布式授权凭证。,链式MAC、第一方/第三方caveat和委托。,Bearer能力必须通过上下文限制、最小权限和验证语义降低滥用风险。,原型和授权开销实验。,不提供链状态版本、单次数据库Nonce或PoP本身。,都要求能力绑定资源、上下文和限制。,CAP2是签名与状态绑定结构，不是Macaroon链式MAC。,可支撑能力安全、衰减和上下文约束。,不能声称CAP2是Macaroons的密码学改进。,威胁模型、构造、caveat、验证、性能,11,是,4,5,3,5,3,5,5,5,2026-07-30
L24,标准/重放控制,T4/T5,OAuth 2.0 Demonstrating Proof of Possession (DPoP),Daniel Fett; Brian Campbell; John Bradley; Torsten Lodderstedt; Michael B. Jones; David Waite,2023,IETF RFC 9449,10.17487/RFC9449,https://doi.org/10.17487/RFC9449,https://www.rfc-editor.org/rfc/rfc9449,https://datatracker.ietf.org/doc/rfc9449/,正式IETF RFC（标准规范）,未发现需替代正式版本的同名预印本,截至2026-07-30已检查RFC Editor信息页；实现时仍应固定RFC正文与当日勘误状态。,A,研究内容二/标准对比,通过持有证明减少Bearer访问令牌被窃后的重放。,使用请求绑定签名证明、随机标识、方法和URI等声明。,防重放需要把凭证与请求、密钥和受众绑定，而非只验签。,规范和安全考虑。,OAuth/HTTP语境，不等同链状态和数据库Nonce。,与CAP2上下文绑定、受众限制和重放拒绝直接类比。,CAP2绑定链、合约、资源和状态版本，DPoP绑定HTTP请求和密钥。,可支撑PoP、请求绑定和重放威胁。,不能声称CAP2已经符合OAuth标准。,协议、证明字段、Nonce、安全考虑,29,是,5,4,3,5,3,4,5,4,2026-07-30
L25,中文高质量文献,T3,基于区块链的大数据访问控制机制,刘敖迪; 杜学绘; 王娜; 李少卓,2019,"软件学报, 30(9): 2636–2654",10.13328/j.cnki.jos.005771,https://doi.org/10.13328/j.cnki.jos.005771,https://www.jos.org.cn/1000-9825/5771.html,https://dds.sciengine.com/cfs/files/pdfs/1000-9825/C12F884627AB402899518D1EDB5C5CEC.pdf,正式发表（中文核心期刊论文）,未发现需替代正式版本的同名预印本,截至2026-07-30，出版商/DBLP或第二核验页面未见撤稿标识；未进行PubPeer等平台的穷尽性审计。,A,研究内容二/中文相关工作,结合ABAC、区块链和智能合约实现大数据访问控制。,形式化ABAC、链上管理策略与实体属性、智能合约执行授权并仿真实验。,链上记录可增强审计与验证，但平台性能和链下执行边界仍需分析。,区块链仿真实验，具体环境需全文复核。,不等同Besu五节点、CAP2和共享Nonce。,链上授权状态和数据共享直接相关。,你的系统强调能力完整绑定、原子单次消费和真实恢复。,可支撑国内区块链访问控制研究脉络。,不能支撑绝对可信或你的性能数字。,模型、架构、智能合约、实验,30,是,4,4,3,5,3,4,4,4,2026-07-30
